modeloDeRelevancia;tipoDeMemoria;tipoDeRaciocinio;comparacoes;memoria;movimentacoes;utilidade;eficienciaCpu;eficienciaMemoria
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;380280,12;280,022;0;22,739483;0,08120606;0,005979667
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;146696,64;16,51575;721,768;1,5246716;0,09231621;9,91E-04
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;380280,12;280,022;0;22,739483;0,08120606;0,005979667
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;10290,096;1,45175;682,99976;0;0;0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ;14078,841;1,4525;760,25476;0;0;0
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;137512,25;18,4185;828,6065;2,3271575;0,12634891;0,001596148
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;468433,56;280,022;0;22,739483;0,08120606;0,004854367
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;123204,25;15,74775;845,25525;1,3958887;0,08864051;0,001060248
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;468433,56;280,022;0;22,739483;0,08120606;0,004854367
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;878532,9;119,6285;65874,33;7,789432;0,065113515;5,07E-04
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;14845,442;1,70125;911,432;0;0;0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;325521,9;77,77975;359,197;19,916286;0,25606006;0,006051488
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;5609,9844;1,70925;703,779;0;0;0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;305138,16;39,12625;597,16724;7,7207646;0,19732952;0,002481685
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;308567,3;39,384;597,14526;7,412108;0,188201;0,002356501
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;5155,85;1,50075;754,33923;0;0;0
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;16832,592;1,90625;672,27374;0;0;0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
DefaultRelevanceModel ; DEFAULT ; SOAREngine ;468433,56;280,022;0;22,739483;0,08120606;0,004854367
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;380280,12;280,022;0;22,739483;0,08120606;0,005979667
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;4895,394;1,457;703,11273;0;0;0
DefaultRelevanceModel ; FORGETTING ; SOAREngine ;14093,279;1,5575;690,4257;0;0;0
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ;44304,78;4,05175;1353,0585;0;0;0
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;468433,56;280,022;0;22,739483;0,08120606;0,004854367
DefaultRelevanceModel ; FORGETTING ; BDIEngine ;11324,745;1,5855;687,6002;0;0;0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ;289720,78;280,022;0;22,739483;0,08120606;0,007848758
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ;380452,53;76,46075;360,4355;20,099485;0,26287326;0,005233466
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ;11490,122;1,59675;705,369;0;0;0
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ;468433,56;280,022;0;22,739483;0,08120606;0,004854367
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;7503,011;1,7125;1016,45624;0;0;0
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ;6064,9487;1,6695;824,878;0;0;0
DefaultRelevanceModel ; DEFAULT ; BDIEngine ;380280,12;280,022;0;22,739483;0,08120606;0,005979667
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;380280,12;280,022;0;22,739483;0,08120606;0,005979667
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ;380280,12;280,022;0;22,739483;0,08120606;0,005979667
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ;4828,6753;1,4615;688,5712;0,011435214;0,0078243;9,76E-05
